[2018-07-10] | [16:43:46:506] | [info] | sending to window
[2018-07-10] | [16:43:47:501] | [info] | sending to window
[2018-07-10] | [16:44:03:889] | [info] | sending to window
[2018-07-10] | [16:44:04:312] | [info] | sending to window
[2018-07-10] | [16:56:59:110] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:57:55:408] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:01:608] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:08:577] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [17:00:01:195] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [17:00:22:281] | [info] | sending to window
[2018-07-10]  [17:01:35:652]  | [info] |  App starting...
[2018-07-10]  [17:01:35:657]  | [info] |  DEV ENVIRONMENT = true
[2018-07-10]  [17:01:39:345]  | [info] |  sending to window
[2018-07-10]  [17:16:23:581]  | [info] |  App starting...
[2018-07-10]  [17:16:23:590]  | [info] |  DEV ENVIRONMENT = true
[2018-07-10]  [17:16:27:850]  | [info] |  sending to window
[2018-07-10]  [17:21:37:834]  | [info] |  App starting...
[2018-07-10]  [17:21:37:838]  | [info] |  DEV ENVIRONMENT = true
[2018-07-10]  [17:21:42:543]  | [info] |  sending to window
[2018-07-10]  [17:25:35:038]  | [info] |  App starting...
[2018-07-10]  [17:25:35:042]  | [info] |  DEV ENVIRONMENT = true
[2018-07-10]  [17:25:37:806]  | [info] |  sending to window
[2018-07-10]  [17:38:17:221]  | [info] |  App starting...
[2018-07-10]  [17:38:17:224]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-10]  [17:38:19:507]  | [info] |  sending to window
[2018-07-10]  [17:47:51:276]  | [info] |  App starting...
[2018-07-10]  [17:47:51:279]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-10]  [17:47:54:714]  | [info] |  sending to window
[2018-07-10]  [17:48:47:522]  | [info] |  App starting...
[2018-07-10]  [17:48:47:526]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-10]  [17:48:49:795]  | [info] |  sending to window
[2018-07-10]  [17:49:58:645]  | [info] |  App starting...
[2018-07-10]  [17:49:58:667]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-10]  [17:50:03:947]  | [info] |  sending to window
[2018-07-10]  [17:51:53:362]  | [info] |  App starting...
[2018-07-10]  [17:51:53:370]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-10]  [17:51:55:573]  | [info] |  sending to window
[2018-07-10]  [18:00:57:902]  | [info] |  App starting...
[2018-07-10]  [18:00:57:906]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-10]  [18:01:01:260]  | [info] |  sending to window
[2018-07-10]  [18:04:24:272]  | [info] |  sending to window
[2018-07-10]  [18:04:48:022]  | [info] |  Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10]  [18:04:53:525]  | [info] |  sending to window
[2018-07-11]  [09:01:43:044]  | [info] |  App starting...
[2018-07-11]  [09:01:43:050]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [09:01:50:706]  | [info] |  sending to window
[2018-07-11]  [09:22:34:382]  | [info] |  App starting...
[2018-07-11]  [09:22:34:388]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [09:22:37:114]  | [info] |  sending to window
